Price,Year,Power(HP),Mileage(KM),Description,Link,Fuel_type
3800000,2012,200,260000,VOLKSWAGEN PASSAT CC 2.0 TFSI DSG VAJBŐR BELSŐ,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_cc/volkswagen_passat_cc_2.0_tfsi_dsg_vajbor_belso-18586557#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3850000,2012,0,320000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Highline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_highline_bmt_dsg-18696505#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3899000,2013,170,128788,VOLKSWAGEN PASSAT ,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat-18658458#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3980000,2012,170,225600,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Highline 4Motion BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_highline_4motion_bmt_dsg-18661064#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3980000,2012,160,162725,VOLKSWAGEN PASSAT VII 1.8 TSI Comfortline DSG Pajzs védelemmel szerelt!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_1.8_tsi_comfortline_dsg_pajzs_vedelemmel_szerelt-18586008#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3990000,2014,140,307000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg-18708218#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3990000,2014,177,281700,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Highline 4Motion BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_highline_4motion_bmt_dsg-18670652#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3998000,2012,140,224960,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Highline BMT DSG GARANTÁLT KM! NAVIGÁCIÓ! PARKPILOT ! ELSŐ-HÁTSÓ PDC! HIBÁTLAN DSG! FRISS NAGYSZ,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_highline_bmt_dsg_garantalt_km_navigacio_parkpilot_elso-hatso_pdc_hibatlan_dsg_friss_nagysz-18627131#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3999000,2013,211,347640,VOLKSWAGEN PASSAT CC 2.0 TFSI Tiptronic FRISSEN SZERVIZELT-MAGYARORSZÁGI!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_cc/volkswagen_passat_cc_2.0_tfsi_tiptronic_frissen_szervizelt-magyarorszagi-18548411#sid=f9598264-20fa-4401-b13e-3263355e48e5,Benzin
3999000,2012,140,180710,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG Navi. Tempomat. Ülésfűtés,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg_navi_tempomat_ulesfutes-18402555#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
3999990,2013,140,268694,VOLKSWAGEN PASSAT VII 2.0 CR TDI Highline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_highline_bmt_dsg-18428890#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
4000000,2012,140,131500,VOLKSWAGEN PASSAT VII 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_comfortline_bmt_dsg-18587813#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
4150000,2013,177,277044,VOLKSWAGEN PASSAT CC 174LE,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_cc/volkswagen_passat_cc_174le-18694614#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
4150000,2012,140,187758,VOLKSWAGEN PASSAT Variant 2.0 CR TDI Comfortline BMT DSG 12. HÓNAP GARANCIA !! GARANTÁLT ..VÉGIG SZERVIZELT. GYÁRI FÉNYEZÉS,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_cr_tdi_comfortline_bmt_dsg_12_honap_garancia_garantalt_vegig_szervizelt_gyari_fenyezes-18653411#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
4199000,2014,177,240000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG Vonóhorog. Navigáció. Friss műszaki vizsga,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg_vonohorog_navigacio_friss_muszaki_vizsga-18667162#sid=f9598264-20fa-4401-b13e-3263355e48e5,Dízel
4200000,2012,140,158523,VOLKSWAGEN PASSAT VII 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_comfortline_bmt_dsg-18659344#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4249000,2014,177,290807,VOLKSWAGEN PASSAT ALLTRACK 2.0 TDI SCR BMT DSG 4Motion Sávtartó. BI-Xenon. Követő Tempomat. Sz.könyv!!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_alltrack/volkswagen_passat_alltrack_2.0_tdi_scr_bmt_dsg_4motion_savtarto_bi-xenon_koveto_tempomat_szkonyv-18129296#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4250000,2016,170,144000,VOLKSWAGEN PASSAT VIII 1.8 TSI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_1.8_tsi_comfortline_bmt_dsg-18669094#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Benzin
4250000,2013,177,320000,VOLKSWAGEN PASSAT ALLTRACK ,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_alltrack/volkswagen_passat_alltrack-18589661#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4385000,2014,211,201000,VOLKSWAGEN PASSAT VII 2.0 TSI Highline DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_tsi_highline_dsg-18575086#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Benzin
4390000,2014,140,236000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG 71 éves tulajdonostól!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg_71_eves_tulajdonostol-18592884#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4398000,2014,140,225000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg-18653171#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
4444444,2014,140,247000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG Mo.-i. KEY LESS GO. VÉGIG SZERVIZES. VIHETŐ!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg_mo-i_key_less_go_vegig_szervizes_viheto-18641324#sid=03f3d781-016b-4313-8ed3-5936d5c9a029,Dízel
